gene_accession_number,Exp1,Exp2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10,Exp11,Exp12,Exp13,Exp14,Exp15,Exp16,Exp17,Exp18,Exp19,Exp20,Exp21,Exp22,Exp23,Exp24,Exp25,Exp26,Exp27,Exp28,Exp29,Exp30,Exp31,Exp32,Exp33,Exp34,Exp35,Exp36,Exp37,Exp38,p-value
 ,(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(ALL),(AML),(AML),(AML),(AML),(AML),(AML),(AML),(AML),(AML),(AML),(AML),
U22376_cds2_s_at,3105,1118,4543,5467,3469,3309,3936,4745,4081,1658,2853,551,4746,1534,5311,4326,7155,1178,3427,6870,9177,4836,3085,5815,1872,3265,2877,1126,880,473,186,680,794,1312,485,408,1047,335,8.38871E-09
X59417_at,3016,3424,7724,3821,5216,4194,5528,2073,7782,5204,6541,846,7743,1756,7288,6084,2455,1273,6482,7629,5746,699,2443,3840,3878,3262,1810,782,490,1648,528,99,1203,1561,1628,1784,1214,1583,9.82165E-08
M55150_at,654,1283,1286,915,732,691,853,1238,822,885,680,412,548,1157,387,707,1822,738,907,860,92,686,803,803,842,514,561,1811,1406,1707,2072,1753,1929,1647,2112,1555,1514,2693,2.47259E-07
M31211_s_at,601,435,547,472,661,337,309,263,978,752,897,334,668,265,898,666,374,516,473,1487,688,143,376,531,481,647,145,153,20,88,139,75,300,237,100,192,339,59,2.91521E-07
D26156_s_at,1595,822,1452,654,1011,1584,578,1024,1297,971,1913,329,1593,1011,1763,2065,1778,764,1448,2191,768,1323,1992,1210,738,2143,1245,302,201,667,697,721,893,624,388,432,706,736,5.184E-07
M92287_at,4778,2700,4926,5403,3440,3179,3978,3293,7324,2676,6134,2056,10669,1912,9211,3345,2360,1316,2492,6464,524,3253,3796,4093,1689,5204,2581,498,165,1309,852,1484,1283,1525,811,1032,1024,1827,6.82653E-07
U09087_s_at,358,82,263,218,186,209,144,167,385,146,89,37,283,179,314,106,335,119,91,268,20,30,334,204,81,109,139,34,48,74,52,33,91,58,20,61,50,20,7.43519E-07
M28170_at,397,20,183,363,251,74,280,235,24,20,20,84,87,155,371,360,20,195,285,470,514,95,53,418,391,495,219,20,67,20,20,20,20,35,20,20,20,20,1.09164E-06
S50223_at,268,346,804,452,476,256,208,310,640,152,441,90,545,570,571,235,352,20,84,867,323,241,493,502,301,101,20,56,168,20,20,62,107,150,20,31,210,20,1.2209E-06
U05259_rna1_at,9326,895,628,5314,5354,282,5146,4048,423,585,147,2504,5075,155,5767,3649,218,3339,2696,8148,2805,5397,870,5955,5070,8219,4184,711,654,20,218,251,20,412,343,272,306,20,1.3491E-06
X74262_at,1372,1184,2221,1051,1370,1306,1339,655,3593,1058,953,209,1624,2050,1995,1625,3139,882,1459,4253,768,176,862,1409,489,716,500,279,336,194,130,51,596,309,313,275,311,20,1.48966E-06
L13278_at,193,31,198,91,194,96,178,112,198,20,36,20,170,188,217,240,254,32,200,338,119,20,85,191,20,20,79,20,20,22,20,20,20,20,20,60,34,20,1.65249E-06
X63469_at,460,151,230,314,632,181,213,227,362,47,225,43,495,442,522,467,485,472,156,629,256,104,172,494,162,348,217,181,74,202,20,20,28,178,20,115,136,63,2.51709E-06
L47738_at,571,2893,2723,731,649,1858,280,1716,2388,913,2147,140,556,1483,1505,904,643,669,1137,3810,1631,857,813,899,223,759,899,20,218,20,20,201,449,65,172,239,683,153,2.56872E-06
D38073_at,994,539,1441,680,950,1258,509,331,1974,664,884,314,1991,1062,1030,675,1731,762,800,1158,1185,141,767,1145,521,700,456,238,382,245,267,342,832,294,148,309,259,256,2.6818E-06
X52142_at,107,20,20,190,361,26,191,179,240,96,69,20,269,159,499,260,214,20,184,326,122,20,142,277,20,105,109,20,20,20,20,20,20,20,20,20,20,20,3.79003E-06
M31523_at,1320,898,597,1644,1322,787,946,1917,1440,442,617,474,1969,686,2572,1439,989,1186,1224,4555,2707,274,590,1823,553,1909,1076,299,389,126,190,275,353,279,250,381,671,200,3.84311E-06
Z15115_at,8444,1920,3118,4261,3425,1790,3810,6153,3303,1329,2525,1277,6216,3382,5831,5617,3714,1616,4692,11241,9114,2572,1601,6110,2242,3074,5374,2271,1082,2007,802,939,1238,967,1365,1568,1843,936,3.90967E-06
U12471_cds1_at,160,134,167,104,145,81,122,335,131,264,195,104,150,135,128,182,227,157,290,70,39,126,74,205,144,98,143,293,322,337,417,271,238,217,213,283,264,304,4.0381E-06
U26266_s_at,289,288,447,424,364,320,381,53,869,403,526,60,673,308,929,698,1060,358,310,1047,20,20,395,651,166,190,201,282,43,64,20,20,151,66,20,20,192,20,4.6875E-06
J05243_at,610,927,1697,425,529,1682,386,629,2760,1722,1587,169,719,859,661,1034,447,252,1041,1717,604,304,397,642,295,1122,209,206,20,20,87,71,102,237,238,57,628,20,5.14535E-06
Y08612_at,517,351,214,432,596,220,196,436,513,114,492,119,393,416,651,278,623,198,251,847,689,290,199,569,292,424,517,200,86,209,253,199,292,151,173,119,185,172,5.5165E-06
M31303_rna1_at,3828,3021,7247,3780,3563,4890,3330,4213,7230,5052,3352,2290,4751,2346,3347,3207,6633,2143,2291,5933,2306,2131,4677,3182,2910,2648,2818,1647,2195,1885,1359,1291,2176,1486,730,3719,1985,1528,5.57786E-06
AF012024_s_at,257,46,139,168,94,197,188,61,269,99,132,54,89,199,147,182,358,20,65,128,123,20,98,93,153,121,90,28,50,29,98,41,43,50,20,45,68,20,6.27462E-06
HG1612-HT1612_at,3767,2890,5996,2810,2206,3881,3723,4072,7439,4791,4406,1379,6964,2056,3688,2976,3182,2209,2580,10857,1535,4624,3710,5079,2302,2106,3307,624,680,1031,1687,1367,2194,460,1874,767,2856,2205,6.44565E-06
X56411_rna1_at,178,183,166,131,141,151,245,77,205,119,107,20,153,206,56,225,234,255,82,308,183,39,113,232,95,297,291,121,33,20,81,94,20,20,84,20,127,47,6.90345E-06
U20998_at,1753,1602,2761,1486,2298,1013,898,1586,2334,878,2016,426,2151,2263,2901,2523,3297,954,1146,4700,2914,1000,1122,2298,498,753,672,407,529,697,786,845,824,1174,440,651,660,580,7.48804E-06
L49229_f_at,337,131,529,422,354,327,354,232,568,20,20,20,207,290,513,190,214,20,45,312,37,184,93,424,77,20,170,20,38,20,93,20,20,20,60,56,88,20,8.14967E-06
X97267_rna1_s_at,2323,1238,1982,3947,3324,1710,1488,2215,3420,723,703,672,3260,5964,6147,3774,3511,1654,2352,4281,20,1075,834,1826,1168,4314,1813,270,1084,20,183,664,739,574,20,788,2009,146,8.15538E-06
U72342_at,978,324,855,369,653,449,638,361,576,99,686,20,1354,901,905,909,1024,171,493,1224,353,128,136,740,20,295,220,20,117,259,20,20,32,173,118,20,249,380,8.44165E-06
D63874_at,4157,11557,12125,8484,9575,5315,6270,4566,10061,7194,7021,4036,12920,6555,11506,11089,13775,4845,8499,13830,16492,9604,5479,12848,5613,10573,4578,5817,5407,4490,3763,6604,6978,4206,4642,3998,2793,2823,8.47047E-06
U32944_at,3349,1002,2089,1625,3502,316,1530,1042,2286,934,282,277,2069,1613,2952,3110,2591,820,1116,5908,1143,108,146,2457,1081,1480,1283,427,288,295,224,230,384,179,651,469,328,133,8.63252E-06
U29175_at,1582,624,753,743,626,1157,552,572,1776,756,1972,219,1322,732,1636,2076,917,453,1660,2174,3707,295,1377,1456,404,1982,949,454,391,412,393,286,429,314,208,385,688,248,1.00732E-05
D63880_at,556,476,498,1211,820,485,734,223,686,721,551,198,550,694,1287,475,883,1281,256,568,454,43,613,298,231,306,433,226,20,410,185,118,279,277,136,321,283,151,1.05841E-05
X15949_at,277,104,91,403,416,46,267,314,210,97,27,20,588,307,747,393,822,515,339,748,201,48,20,598,163,169,104,35,79,71,20,64,64,35,20,23,59,33,1.06514E-05
U35451_at,408,633,912,304,398,506,357,134,982,613,745,20,810,404,547,72,665,726,95,767,600,247,442,621,116,96,291,208,57,214,149,195,209,29,160,223,293,73,1.09373E-05
X76648_at,1361,237,1240,992,1233,401,821,1012,929,330,512,90,827,679,1426,1578,660,541,1225,3081,1620,532,303,1463,416,1134,477,110,209,358,254,550,214,514,147,159,165,307,1.10981E-05
M13792_at,3221,10954,16529,5364,2837,16135,6067,3103,15235,8982,8630,1695,4765,3529,9000,10227,8469,2091,2273,12217,2973,1743,12805,5981,2425,3323,2617,911,2551,1297,753,2708,2493,487,769,1614,4148,1446,1.11453E-05
M91432_at,767,814,1547,831,1423,430,764,752,1777,426,472,76,920,606,1417,869,2031,954,532,3192,896,70,321,992,363,636,419,263,226,87,183,111,323,125,158,295,368,110,1.14913E-05
X76061_at,210,216,250,139,270,67,193,167,152,20,71,38,418,449,335,253,413,121,211,166,266,20,20,364,35,97,92,34,40,58,20,20,75,20,29,20,165,20,1.37502E-05
M84371_rna1_s_at,2911,575,905,2038,1871,634,2364,1409,644,358,500,1119,1473,408,2239,1981,409,1046,3210,4072,1069,1878,685,1967,2537,3495,1768,469,548,763,466,838,443,225,251,595,863,678,1.65362E-05
U82759_at,393,118,667,410,119,147,735,248,258,409,306,20,87,188,99,67,20,102,432,359,149,160,366,770,267,59,20,652,262,618,805,673,822,1137,1050,1157,1083,1099,1.66934E-05
J03473_at,2018,650,573,2291,2796,405,1829,2497,1204,324,264,472,1591,999,2352,2576,1875,2150,1338,4443,1040,1191,579,2741,569,2088,1702,803,430,603,404,355,841,500,426,871,671,109,1.73508E-05
X66899_at,701,874,493,186,1116,1001,199,199,1601,917,1412,488,1225,1160,1885,887,1000,217,818,2082,2002,329,1134,1292,430,600,118,359,141,431,340,599,228,412,413,104,282,20,1.79356E-05
Z69881_at,1766,2015,3556,828,1496,2606,473,2067,4461,1777,2744,291,3578,1706,2041,3847,8578,111,576,5796,20,1628,1962,1306,892,2452,760,784,406,118,43,214,172,371,292,248,618,20,1.88414E-05
U49844_at,92,210,299,232,463,136,268,250,205,134,29,40,287,442,411,294,254,117,223,612,272,91,195,462,51,56,106,115,165,97,78,40,20,20,107,68,77,20,1.91954E-05
D86967_at,4346,2554,1855,912,1019,1184,873,2118,3045,2118,2520,970,4856,571,927,3013,2592,1641,5276,5344,2076,1741,1341,932,2274,3045,793,1276,634,1023,724,868,450,383,982,1321,518,685,2.1296E-05
U53468_at,141,84,98,20,238,32,20,71,90,62,54,63,112,20,62,108,20,20,191,167,162,82,20,196,58,55,143,20,20,20,20,36,20,31,21,52,24,29,2.31385E-05
D43950_at,719,247,936,932,1708,711,922,293,1333,730,532,260,796,1084,1109,791,986,376,1013,2052,991,20,419,916,174,748,566,539,295,534,222,158,224,186,500,419,70,20,2.31449E-05
M81933_at,20,20,124,167,114,56,203,20,124,89,46,44,192,77,96,120,98,89,82,120,161,111,22,20,113,52,20,179,214,179,330,407,313,243,229,132,230,282,2.46303E-05
